* 통계표명 :,지역별_아파트_실거래가격지수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 수록기간 :,2006년 01월 ~ 2019년 07월,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 조회기간 :,2009년 12월 ~ 2018년 11월,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 출처 :,한국감정원,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 자료다운일자 :,2019.10.18 18:24:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 단위 :,지수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
지 역,,2009년 12월,2010년 01월,2010년 02월,2010년 03월,2010년 04월,2010년 05월,2010년 06월,2010년 07월,2010년 08월,2010년 09월,2010년 10월,2010년 11월,2010년 12월,2011년 01월,2011년 02월,2011년 03월,2011년 04월,2011년 05월,2011년 06월,2011년 07월,2011년 08월,2011년 09월,2011년 10월,2011년 11월,2011년 12월,2012년 01월,2012년 02월,2012년 03월,2012년 04월,2012년 05월,2012년 06월,2012년 07월,2012년 08월,2012년 09월,2012년 10월,2012년 11월,2012년 12월,2013년 01월,2013년 02월,2013년 03월,2013년 04월,2013년 05월,2013년 06월,2013년 07월,2013년 08월,2013년 09월,2013년 10월,2013년 11월,2013년 12월,2014년 01월,2014년 02월,2014년 03월,2014년 04월,2014년 05월,2014년 06월,2014년 07월,2014년 08월,2014년 09월,2014년 10월,2014년 11월,2014년 12월,2015년 01월,2015년 02월,2015년 03월,2015년 04월,2015년 05월,2015년 06월,2015년 07월,2015년 08월,2015년 09월,2015년 10월,2015년 11월,2015년 12월,2016년 01월,2016년 02월,2016년 03월,2016년 04월,2016년 05월,2016년 06월,2016년 07월,2016년 08월,2016년 09월,2016년 10월,2016년 11월,2016년 12월,2017년 01월,2017년 02월,2017년 03월,2017년 04월,2017년 05월,2017년 06월,2017년 07월,2017년 08월,2017년 09월,2017년 10월,2017년 11월,2017년 12월,2018년 01월,2018년 02월,2018년 03월,2018년 04월,2018년 05월,2018년 06월,2018년 07월,2018년 08월,2018년 09월,2018년 10월,2018년 11월
전국,,77.3,78,78.1,77.9,77.2,76.7,76.4,76.1,75.9,76.6,77.1,77.7,78.6,79.8,81.1,82.2,82.6,82.9,83.2,83.6,84.2,84.8,84.8,84.3,83.6,84.5,84.6,84.4,84.1,83.9,83.5,82.9,82.8,82.8,82.8,82.4,81.5,82.4,82.5,82.9,83.2,83.4,83.1,83.7,84.1,84.7,85.1,85.1,85.1,85.7,86.3,86.8,86.9,86.8,86.9,87.1,87.7,88.3,88.9,89.2,89.4,90,90.6,91.5,92.2,92.8,93.3,94.2,94.9,95.5,95.9,95.9,95.3,95.2,95.4,95.2,95.2,95.3,95.6,96.2,96.9,97.8,98.5,98.6,98.3,98,98.2,98.4,98.3,98.6,99.2,100,100.1,100.2,100.3,100,99.7,100,100.3,100.3,100.3,100,99.9,99.9,101.2,102.6,102.8,101.9
수도권,,88.7,89.6,89.5,88.7,87,85.8,85,84,83.3,83.9,84,84.6,85.3,86.3,87.2,87.2,86.7,86.3,85.8,85.7,85.9,85.9,85.4,84.6,83.9,83.9,83.6,83.1,82.4,81.9,81.3,80.3,79.8,79.5,79.4,78.9,78.2,78.4,78.5,78.9,79.2,79.4,79.1,79.1,79.5,80.2,80.7,80.6,80.5,81,81.7,82.2,82.1,82,81.9,82,82.7,83.4,83.9,84,84.2,84.6,85.2,86.1,87,87.6,88.2,89.2,89.9,90.5,91,91.2,90.7,90.6,90.8,90.9,91.1,91.6,92.2,93.2,94.1,95.1,96,96.1,95.7,95.4,95.5,95.9,96,96.8,97.9,99.2,99.5,99.7,100.2,100,100.1,101,101.7,102.3,102.6,102.7,102.8,103.5,106.2,108.9,109.2,108.2
지방,,66.1,66.8,67.2,67.8,68.1,68.4,68.6,69,69.4,70.1,71,71.7,72.7,74.2,75.9,77.8,79.1,80,80.8,81.8,82.7,83.9,84.2,83.9,83.3,84.8,85.2,85.2,85.2,85.2,85,84.7,84.9,85.1,85.2,84.8,83.8,85.3,85.4,85.8,86.1,86.2,85.9,87,87.3,87.9,88.3,88.4,88.4,89.1,89.5,90.2,90.3,90.3,90.5,90.7,91.3,92,92.6,93,93.3,94,94.7,95.5,96.2,96.7,97.2,98.1,98.7,99.4,99.8,99.6,98.9,98.8,98.9,98.7,98.5,98.2,98.3,98.7,99.1,99.9,100.5,100.7,100.4,100.1,100.4,100.4,100.2,100.2,100.3,100.6,100.5,100.6,100.3,100,99.3,99.1,99,98.7,98.4,97.8,97.4,96.9,97,97.2,97.2,96.5
6대광역시,,67.8,68.5,68.6,68.8,68.6,68.5,68.5,68.4,68.5,69.2,69.7,70.3,71.2,72.4,73.9,75.4,76.3,77,77.5,78.1,78.8,79.5,79.6,79.1,78.5,79.4,79.7,79.6,79.4,79.4,79.3,78.6,78.5,78.7,78.8,78.4,77.7,78.8,78.8,79.2,79.5,79.6,79.6,80.3,80.7,81.3,81.9,82.1,82.1,82.8,83.2,83.9,84,84.1,84,84.4,84.9,85.6,86.4,86.9,87.4,88.2,89,90.1,91.1,92,92.8,93.8,94.7,95.6,96.2,96.1,95.4,95.4,95.3,95.3,95.1,95.1,95.3,95.9,96.6,97.8,98.7,99,98.9,98.7,99,99.2,99.3,99.4,99.8,100.3,100.5,100.5,100.3,100,99.4,99.4,99.4,99.4,99.3,99,98.6,98.3,98.8,99.3,99.7,99.1
5대광역시,,60.2,60.8,61.1,61.7,61.9,62.2,62.4,62.6,63,63.8,64.5,65.4,66.5,67.9,69.8,71.6,73,74,74.9,75.7,76.6,77.5,77.8,77.4,76.8,77.9,78.3,78.4,78.2,78.3,78.3,77.7,77.7,78,78.2,77.9,77.1,78.4,78.5,78.9,79.2,79.3,79.3,80.2,80.6,81.2,81.8,82,82.1,82.7,83.1,83.8,84,84,84,84.4,84.9,85.7,86.5,87.1,87.6,88.5,89.4,90.5,91.4,92.4,93.2,94.3,95.1,96.1,96.7,96.5,95.8,95.8,95.6,95.6,95.2,95.2,95.4,95.9,96.6,97.7,98.6,99,99,98.8,99.2,99.4,99.4,99.5,99.9,100.3,100.5,100.5,100.2,100,99.3,99.3,99.3,99.3,99.3,98.9,98.5,98.3,98.6,99.3,99.6,99
8개도,,72,72.7,73.2,73.8,74.1,74.5,74.6,75.3,75.6,76.3,77.2,77.9,78.8,80.4,81.8,83.8,85,85.9,86.6,87.7,88.7,90,90.5,90.3,89.5,91.4,91.8,91.9,92.1,91.9,91.5,91.4,91.8,91.9,92,91.5,90.2,92.1,92,92.5,92.8,92.8,92.3,93.6,93.9,94.4,94.7,94.6,94.5,95.2,95.8,96.4,96.4,96.4,96.7,96.8,97.5,98.1,98.5,98.7,98.8,99.4,99.8,100.3,100.9,100.8,101.1,101.8,102.2,102.6,102.7,102.6,101.8,101.7,102.2,101.7,101.6,101.1,101.2,101.3,101.6,102,102.3,102.2,101.7,101.3,101.5,101.4,101,100.9,100.8,100.8,100.5,100.7,100.5,100,99.3,98.8,98.7,98,97.5,96.6,96.2,95.5,95.3,95.1,94.8,94
서울,,81.9,82.9,83,82.2,80.4,79.1,78.4,77.3,77,77.5,77.5,78.4,79.3,80.3,81.1,80.8,80.3,79.7,79.2,79.2,79.3,79.1,78.5,77.8,76.9,77.1,76.9,76.2,75.4,75,74.4,73.4,72.8,72.4,72.3,72,71.3,71.7,71.9,72.6,72.9,73.1,72.7,72.6,72.9,73.5,74,73.8,73.6,74.3,74.9,75.3,75.2,75,74.9,75,75.7,76.4,76.8,76.8,76.8,77.3,77.9,78.8,79.5,80.2,80.8,81.8,82.6,83.2,83.8,84.2,83.8,83.6,83.8,83.9,84.3,85,86.1,87.5,88.8,90,91.2,91.4,90.8,90.6,90.7,91.4,91.7,93.2,95.1,97.6,97.8,98.1,99.3,100,101,103.1,104.8,106,107.4,107.9,108.7,110.4,115.2,121.6,122.2,120.5
,도심권,83.9,84.7,86.1,84.7,82,81.9,80.9,81.1,78.8,80.7,79.2,79.2,79.7,81.1,82.5,81.6,82.4,81,80.2,80.9,81.1,80.5,79.5,79.7,80.2,78.5,78.8,78.5,78,77.9,77.1,75.3,75.8,75.5,74.5,74.3,73.1,75.8,73,75.3,74.9,75.7,74.1,74.3,75.3,74.7,74.2,74.9,74.2,74.9,75.5,75.7,75.1,75.9,74.9,75.3,75.9,76.1,76.5,76.6,77.8,77.8,78.1,79,79.7,80.4,80.9,82.2,82.8,82.8,84,84.6,84.1,83.9,84,84.7,84.6,85.1,85.9,86.6,88,89.3,89.8,90.1,89.7,90.4,89.9,91.4,91.3,92.2,94.9,97.2,96.5,98.6,98.8,100,100.5,103.3,106.5,109.7,110.7,111.7,113.8,116.7,120.9,122.6,123,123
,동북권,86,86.4,86.5,85.5,84,82.3,81.2,80,79.7,80,80.3,80.9,81.8,82.9,83.9,83.8,83.4,82.6,82.2,82.4,82.4,82.3,82,81.5,80.4,80.8,80.2,79.5,78.7,78.3,77.4,76.4,76,75.8,75.6,75.3,74.3,74.8,75,75.4,75.6,75.7,75.3,75.3,75.7,76.5,77,76.8,76.6,77.2,77.9,78,78.1,77.7,77.7,77.8,78.6,79.2,79.6,79.7,79.6,80.1,80.8,81.5,82.3,83,83.5,84.6,85.4,86.1,86.7,87,86.5,86.6,86.8,86.9,87.1,87.4,88.1,89.3,90.4,91.6,92.6,92.9,92.6,92,92,92.4,92.7,94,95.6,98.1,98.6,98.6,99.6,100,100.4,101.7,103.5,104.7,106.1,106.4,106.8,108.4,112.5,120.2,122.6,120.6
,서북권,81.4,82.3,82.6,82.3,81.1,80.3,80.1,79.3,79.1,78.8,78.7,79.4,79.8,80.5,81.5,81.4,81.7,80.9,79.9,80.9,80.9,81.9,81.2,80.1,79.4,79.3,79.1,79.3,78.4,78.5,77.5,76.6,75.4,76.6,75.5,75.6,75,74.8,75.2,75.8,75.4,76.2,76.3,76,76.6,76.7,77.2,76.7,76.9,77.4,78.2,78.6,78.3,78.4,78.1,78.5,79.2,79.8,79.8,79.7,79.9,80.3,80.8,81.6,82.2,82.9,83.3,83.8,84.5,85,85.4,85.9,85.9,85.9,85.9,86.5,86.7,87.8,88.6,90.1,91.3,92.3,93.5,94.2,92.7,93.2,93.6,93.9,94.5,95.5,96.8,98.3,99,98.9,99.9,100,100.5,102.3,104.2,105.4,107.7,109.3,109.7,111.5,116.5,122,122.7,120.1
