* 통계표명 :,소비자물가지수_전체,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 수록기간 :,1990년 01월 ~ 2019년 09월,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 조회기간 :,2009년 12월 ~ 2018년 11월,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 출처 :,통계청,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 자료다운일자 :,2019.10.18 18:25:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 단위 :,지수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
지 역,2009년 12월,2010년 01월,2010년 02월,2010년 03월,2010년 04월,2010년 05월,2010년 06월,2010년 07월,2010년 08월,2010년 09월,2010년 10월,2010년 11월,2010년 12월,2011년 01월,2011년 02월,2011년 03월,2011년 04월,2011년 05월,2011년 06월,2011년 07월,2011년 08월,2011년 09월,2011년 10월,2011년 11월,2011년 12월,2012년 01월,2012년 02월,2012년 03월,2012년 04월,2012년 05월,2012년 06월,2012년 07월,2012년 08월,2012년 09월,2012년 10월,2012년 11월,2012년 12월,2013년 01월,2013년 02월,2013년 03월,2013년 04월,2013년 05월,2013년 06월,2013년 07월,2013년 08월,2013년 09월,2013년 10월,2013년 11월,2013년 12월,2014년 01월,2014년 02월,2014년 03월,2014년 04월,2014년 05월,2014년 06월,2014년 07월,2014년 08월,2014년 09월,2014년 10월,2014년 11월,2014년 12월,2015년 01월,2015년 02월,2015년 03월,2015년 04월,2015년 05월,2015년 06월,2015년 07월,2015년 08월,2015년 09월,2015년 10월,2015년 11월,2015년 12월,2016년 01월,2016년 02월,2016년 03월,2016년 04월,2016년 05월,2016년 06월,2016년 07월,2016년 08월,2016년 09월,2016년 10월,2016년 11월,2016년 12월,2017년 01월,2017년 02월,2017년 03월,2017년 04월,2017년 05월,2017년 06월,2017년 07월,2017년 08월,2017년 09월,2017년 10월,2017년 11월,2017년 12월,2018년 01월,2018년 02월,2018년 03월,2018년 04월,2018년 05월,2018년 06월,2018년 07월,2018년 08월,2018년 09월,2018년 10월,2018년 11월
전국,89.27,89.97,90.16,90.34,90.7,90.79,90.7,90.88,91.34,92.07,92.07,91.61,91.98,93.07,93.71,94.07,94.16,94.35,94.53,94.98,95.62,95.53,95.35,95.44,95.8,96.18,96.55,96.58,96.57,96.74,96.6,96.39,96.83,97.52,97.34,97,97.17,97.75,98.08,97.99,97.85,97.85,97.73,97.94,98.29,98.48,98.18,98.16,98.28,98.81,99.07,99.25,99.32,99.48,99.35,99.5,99.67,99.61,99.31,99.11,99.1,99.77,99.71,99.72,99.75,100.03,100.05,100.23,100.37,100.11,100.11,99.92,100.22,100.39,100.82,100.56,100.75,100.81,100.79,100.6,100.86,101.46,101.6,101.45,101.56,102.64,102.92,102.85,102.72,102.83,102.61,102.78,103.37,103.49,103.39,102.62,102.99,103.42,104.21,104.1,104.29,104.34,104.13,103.94,104.85,105.65,105.46,104.71
서울,88.45,88.97,89.15,89.52,89.88,89.88,89.7,89.97,90.42,91.23,91.23,90.78,91.05,92.04,92.58,92.94,93.03,93.21,93.39,93.84,94.47,94.38,94.29,94.29,94.56,95.09,95.48,95.61,95.64,95.74,95.64,95.59,96.16,96.81,96.56,96.19,96.38,96.91,97.18,97.09,97.07,97.07,96.93,97.11,97.47,97.69,97.44,97.43,97.57,98.11,98.31,98.54,98.73,98.88,98.78,98.99,99.23,99.13,98.85,98.73,98.85,99.49,99.56,99.47,99.63,99.82,99.83,100.26,100.51,100.36,100.33,100.18,100.55,100.63,101.03,100.71,100.88,100.92,100.87,100.76,101.15,101.72,101.86,101.73,101.89,102.77,103,103.07,102.98,103.12,102.97,103.28,103.89,103.78,103.52,102.86,103.16,103.57,104.32,104.31,104.55,104.56,104.19,104.16,105.04,105.7,105.33,104.77
부산,88.39,89.05,89.32,89.59,89.86,89.95,89.77,90.04,90.49,91.12,91.39,90.85,91.39,92.57,93.29,93.56,93.83,93.92,94.01,94.46,95.18,95,94.91,95,95.36,95.7,96.2,96.27,96.32,96.53,96.31,96.08,96.48,97.25,97.15,96.87,97.01,97.72,98.05,98,97.74,97.74,97.55,97.71,98.08,98.35,98.06,98.04,98.23,98.82,99.12,99.26,99.2,99.27,99.11,99.18,99.46,99.47,99.17,99.03,98.94,99.92,99.82,99.86,99.9,100.09,100.1,100.11,100.21,99.95,100.08,99.81,100.14,100.34,101.12,100.86,101.09,101.16,101.04,100.73,101.01,101.63,101.82,101.61,101.78,102.64,102.92,102.85,102.76,103,102.59,102.69,103.21,103.57,103.69,102.84,103.08,103.58,104.43,104.46,104.76,104.59,104.43,104.14,104.98,105.96,106.15,105.15
대구,88.51,89.05,89.32,89.59,89.86,90.04,89.86,90.04,90.4,91.22,91.4,90.76,91.13,92.12,92.84,93.47,93.38,93.56,93.65,94.28,95.01,94.91,94.64,94.73,95.01,95.35,95.64,95.96,96.17,96.41,96.27,96.02,96.36,96.99,96.85,96.5,96.69,97.45,97.77,97.83,97.68,97.68,97.52,97.64,98.08,98.26,98.11,98.1,98.2,98.68,98.99,99.2,99.2,99.44,99.34,99.52,99.68,99.63,99.34,99.1,99.04,99.88,99.75,99.73,99.73,100.12,100.17,100.22,100.38,100.08,100,99.78,100.16,100.27,100.68,100.55,100.78,100.8,100.84,100.64,100.86,101.6,101.79,101.56,101.67,102.83,103.24,103.05,102.82,102.82,102.59,102.69,103.37,103.64,103.6,102.82,103.29,103.78,104.62,104.39,104.61,104.6,104.39,104.25,105.36,106.07,106.09,105.24
인천,89.6,90.32,90.59,90.78,91.24,91.33,91.24,91.51,91.88,92.7,92.79,92.24,92.52,93.43,93.98,94.17,94.07,94.26,94.53,94.99,95.63,95.36,95.17,95.36,95.72,96.22,96.53,96.41,96.13,96.3,96.34,96.27,96.61,97.21,97.18,96.91,97.12,97.5,97.8,97.63,97.46,97.48,97.45,97.45,97.78,97.99,97.71,97.74,97.79,98.46,98.74,98.96,98.95,99.23,99.09,99.14,99.36,99.29,99.11,98.94,98.97,99.71,99.8,99.83,99.79,100,100.03,100.22,100.34,100.11,100.12,99.86,100.17,100.45,100.78,100.49,100.69,100.63,100.65,100.44,100.68,101.21,101.4,101.36,101.47,102.52,102.75,102.65,102.49,102.62,102.49,102.56,103.11,103.29,103.23,102.54,102.94,103.47,104.27,104.08,104.25,104.34,104.23,103.9,104.68,105.51,105.31,104.71
광주,89.52,90.19,90.46,90.83,91.1,91.19,91.19,91.47,91.83,92.57,92.66,91.83,92.29,93.48,94.21,94.49,94.58,94.76,94.94,95.4,96.13,96.22,96.04,95.95,96.13,96.54,96.76,96.8,96.78,96.86,96.65,96.4,96.84,97.64,97.34,96.99,97.15,97.75,98.01,97.96,97.92,97.89,97.76,98,98.48,98.69,98.36,98.41,98.55,99.09,99.42,99.79,99.87,99.97,99.86,99.97,100.08,100.08,99.66,99.43,99.45,100.08,99.92,99.83,99.77,100.14,100.19,100.12,100.17,99.83,100.12,99.79,100.05,100.11,100.59,100.41,100.58,100.69,100.75,100.59,100.87,101.55,101.71,101.51,101.65,102.77,103.22,103,102.79,102.95,102.79,102.78,103.35,103.48,103.48,102.77,102.96,103.33,104.1,103.82,104.07,104.21,104.12,103.87,104.43,105.33,105.22,104.37
대전,90.03,90.71,90.8,90.98,91.53,91.63,91.53,91.72,92.27,92.91,93.01,92.64,93.01,94.11,94.94,95.49,95.58,95.58,95.58,96.31,96.96,96.87,96.68,96.87,97.23,97.8,98,97.89,97.77,97.92,97.72,97.49,97.83,98.48,98.29,97.9,98.05,98.77,98.93,98.86,98.67,98.73,98.69,98.95,99.27,99.25,98.94,98.83,98.86,99.36,99.72,99.89,99.85,100.16,100.06,100.02,100.04,99.98,99.73,99.43,99.39,99.8,99.7,99.71,99.63,99.95,100.05,100.24,100.4,100.17,100.04,99.99,100.31,100.42,100.77,100.41,100.5,100.63,100.57,100.28,100.44,100.9,101.11,101.03,101.07,102.11,102.4,102.28,102.23,102.31,102.08,102.22,102.65,102.9,102.78,101.93,102.28,102.81,103.65,103.62,103.85,103.9,103.64,103.34,104.29,105.04,104.96,104.15
울산,89.02,89.94,90.13,90.67,90.95,91.04,90.95,91.13,91.59,92.22,92.22,91.86,92.13,93.14,93.68,94.23,94.23,94.6,94.69,95.23,95.6,95.51,95.6,95.87,96.06,96.41,96.6,96.68,96.68,96.87,96.79,96.59,97.05,97.54,97.43,97.08,97.14,98.16,98.37,98.37,98.2,98.19,98.12,98.28,98.7,98.86,98.45,98.41,98.4,99.06,99.35,99.37,99.54,99.65,99.66,99.76,99.9,99.9,99.59,99.49,99.26,99.85,99.78,99.84,99.88,100.09,100.15,100.13,100.36,100.04,99.95,99.77,100.15,100.47,100.77,100.48,100.65,100.74,100.68,100.59,100.9,101.5,101.88,101.58,101.64,102.6,102.93,102.83,102.83,102.93,102.68,102.67,103.09,103.39,103.23,102.43,102.73,103.13,103.9,103.62,104.09,104.01,103.73,103.43,104.24,104.9,104.74,103.81
경기,89.62,90.54,90.81,90.63,90.99,91.08,90.99,91.18,91.54,92.27,92.27,91.81,92.18,93.19,93.92,94.19,94.28,94.46,94.65,95.2,95.65,95.65,95.56,95.65,96.02,96.53,96.8,96.68,96.61,96.78,96.68,96.46,96.84,97.52,97.31,97.01,97.23,97.77,98.17,98,97.84,97.83,97.75,97.98,98.29,98.45,98.15,98.16,98.26,98.74,99,99.23,99.3,99.47,99.33,99.49,99.64,99.58,99.26,99.08,99.08,99.74,99.69,99.71,99.74,100.07,100.05,100.27,100.39,100.08,100.12,99.93,100.22,100.42,100.83,100.55,100.74,100.78,100.81,100.66,100.83,101.35,101.47,101.35,101.5,102.68,102.96,102.92,102.74,102.89,102.64,102.79,103.41,103.5,103.4,102.64,103.05,103.43,104.25,104.14,104.29,104.4,104.21,104.01,104.96,105.72,105.45,104.76
강원,90.36,90.97,91.16,91.71,92.08,92.08,91.99,92.27,92.73,93.28,93.65,93,93.37,94.39,95.31,95.96,95.96,95.96,96.33,96.7,97.35,97.07,96.98,96.98,97.35,97.51,97.95,98.27,98.17,98.51,98.24,97.71,98.06,98.73,98.69,98.35,98.49,99.11,99.51,99.33,99.2,99.13,98.98,99.16,99.52,99.66,99.28,99.24,99.35,99.76,99.93,100.16,100.05,100.25,100.06,100.18,100.28,100.19,99.84,99.44,99.43,100.02,99.73,99.87,99.85,100.15,100.25,100.13,100.25,99.96,99.98,99.76,100.05,100.27,100.52,100.3,100.5,100.68,100.8,100.36,100.56,101.22,101.5,101.33,101.39,102.48,102.72,102.61,102.6,102.78,102.56,102.68,103.24,103.42,103.25,102.44,102.84,103.19,103.96,103.99,104.23,104.29,104.11,103.84,104.81,105.69,105.66,104.95
